0,Suicídio da população LGBT: precisamos falar e escutar - CartaCapital  via
1,eu sinceramente não posso ouvir essa musica q eu já penso em suicidio meudeus do ceu
2,"vcs chegando daqui a duas semanas com textos prontos fingindo que se importam com quem tem depressão, ansiedade e tendênc…"
3,minha maior conquista esse ano foi nao ter cometido homicídio ou suicidio
4,"kpoppers que falaram mal da aparência do jimin, hoseok e namjoon o ano todo chegando daqui a duas semanas com textos fing…"
5,Seria o estopim p meu suicídio
6,Flávio quer que morte causada por policial vire 'suicídio'
7,"As empresas que decidam dar ouvidos ao presidente estadunidense e abandonar o mercado chinês enfrentarão o abismo. ""É u…"
8,"Galera acabei de saber do suicídio da aluna do Elite Valqueire, forças aos familiares e aos amigos. É realmente muito triste…"
9,"se eu me matasse não seria suicídio, seria autodefesa pq taria matando quem tá querendo me matar"
10,"koe no katachi é uma obra incrível né bicho aborda assuntos delicados como bullying/suicídio/depressão, fala da importânc…"
11,"me socorre, que hoje eu cometo suicídio"
12,Esse povo com papinho de setembro amarelo quando foram os primeiros a dar as costas pros amigos com depressão.   Aí quando tenta suicídio ou morre mesmo quer mostrar que se importa.  Não dou conta
13,tempinho bom p um suicídio kkkkkk
14,Se não for por problema no coração vai ser suicídio msm
15,"Sobre essa moça do COS que cometeu suicídio: é triste saber que pode ser qualquer pessoa, a qualquer momento pode fazer o mesmo. Inclusive você.  A doença é instável e traiçoeira."
16,"entra setembro que tem um movimento chamado setembro amarelo que é sobre a prevenção do suicídio e porra né o mais ???? é que não tem a porra do senso que isso serve de gatilho pra todo mundo que luta diariamente contra a vontade de se machucar, vai ser biscoiteira no inferno"
17,por mim a gente fazia um suicídio coletivo e deixava a terra só para os animais
18,"Reduto da família de CIRO GOMES, fraudavam laudos de retardo mental, para crianças que tiravam notas baixas, para melh…"
19,Vou fazer um thread das merdas que aconteceram ontem no  Primeiramente foi uma tentativa de suicidio e em…
20,"Suicídio tem pouco ou nada a ver com a liquidez moderna e o principal exemplo é o efeito Werther. O que acontece é que a modernidade acelera o pêndulo de schopenhauer, o que acaba gerando uma insatisfação quase crônica e, em geral, ansiedade"
21,Te amu seu lindo para bens :3 &lt;3
22,Setembro chegando e vai começar as pessoas a postar coisas contra a depressão e suicídio sendo que muitos não estão nem aí pr…
23,"Ai mano mudei de ideia já, eu planejo nosso suicídio mais fácil então ou um tole top q faz tempo q n nos vemos poxa"
24,"ficar brava, mas não vejo motivos para isso, desculpa."" Ela ficou putassa e assim nunca mais falou comigo, deis de então estamos sem nós falar, O que é no começo me fez sofrer muito foi pois dias depois minha vó precisou amputar as duas pernas e eu quase cometi suicídio."
25,"SETEMBRO AMARELO!!  Para começarmos o mês de prevenção do suicídio, o jornalista André Trigueiro, que é referência no ass…"
26,PQP. Falam tanto em empodetamemto da policia e agora querem criar um nomezinho bonito . Pior estudem a palavra suicidio!
27,setembro chegando vai todo mundo postar e comentar sobre setembro amarelo depressão suicídio compartilhar imagens e textos de…
28,"eu tenho medo do suicídio. porque eu não quero desistir sabe? eu gosto do meu trabalho, gosto das coisas que eu faço e te…"
29,Meu texto  “Suicídio na população LGBT: precisamos falar e escutar” na coluna de saúde LGBT. Segue o link: https://t.co…
30,"Troquei de iPhone tem um mês, sonhei essa madrugada que ele caia e rachava a tela, acordei desesperada. Quase 4000 no celular pra ele rachar não da né, aí é suicídio lento 🤣🤦🏽‍♀️"
31,Depressão não é brincadeira!  Suicídio não é fogo no cú!   Só quem tem sabe o que é!
32,Me fala o loja q ele compro q eu quero um desse
33,O meu ip já deve tar sinalizado nas linhas de prevenção de suicidio de tantas vezes que eu procuro maneiras fixes de morrer
34,Não vou mas me entregar a ninguém. É suicídio !!
35,"Mas que raio estou a inventar ? Eu sei que a taxa de suicidio é altissima em pessoas transgenero. Nunca questionei isso. Mas não é por terem a ""doença da identidade do genero"". É porque não é facil viver tendo esse comportamento."
36,Acordar com uma mensagem enorme de suicídio de um grande amigo....
37,"Aguardando ansiosamente ser atingida por um caminhão, já que não quero magoar família e amigos comentando suicídio :)"
38,"é precisar chegar há um ponto mais crítico da doença para ser falado ou até mesmo o próprio suicídio, no qual é a cartada final que o indivíduo encontra para acabar com a dor que ele sente, pra ser discutido sobre tratamentos, prevenções?  é preciso?"
39,"Bolsonaro já falou que a lei não tem lógica, o único a ter visto falta de lógica no projeto, agora vetar tudo pra ter o veto derrubado é um suicídio no combate à criminalidade, seria o caos."
40,Que dia lindo pra cometer suicídio
41,no dia q eu estou de cabelo amarrado tenha certeza q eu so não comenti suicidio nesse dia pq tenho medo de morrer
42,"Isso é mentira. A taxa de suicídio pós operação, mesmo em situações ideais de não discriminação, continua próxima dos 30%, salvo erro. Se lesses os diversos estudos sobre o assunto, saberias. Mas preferes inventar."
43,"PL 4640/2019  Ementa: Altera o código penal e prevê que transgressor da lei, morto por policial, que agir em legítima defe…"
44,uma hr planejando suicídio e outra meu aniversário de 20
45,Bolsonaro diz que a imprensa está cometendo suicídio
46,Primeiro dia de 365 antes do meu suicídio  Hoje eu meio q fui expulsa da minha escola.. caos
47,Suicídio por machismo:
48,"Q mané suicídio, bó come um mac"
49,"Isso aí já passou do estágio de tomar tarja preta, de cheira cocaína e fumar a tal maconha ""medicinal"". Já está em estágio de suicídio."
50,Suicídio por policial. Isso tá errado em tantos níveis...
51,La fantasia pronta e precisa.
52,"""suicídio por policial"" ...num sei nem oq falar, só retweetar..."
53,"Que não cometam um suicídio pela cobra, pfvr"
54,Técnicas de suicídio indolor sem deixar os parentes tristes? - Porelho — Nao da pra matar o que ja ta morto -charan
55,quero cometer suicidio a dois com uma bela dama.
56,Gente...Tenho Um Vídeo Super Interessante Sobre Suicídio ....Vocês Querem Que Eu Posto Aqui!?
57,"namoral mesmo, era só um suicídio bolado"
58,As pessoas são mais propensas a cometer suicídio na segunda-feira do que em qualquer outro dia da semana.
59,"É vergonhoso, mas eu penso constantemente em suicídio, e acho que nem pra isso sirvo kkkkk pq nunca tenho coragem"
60,Tendo os piores dias da minha vida  penso em suicidio todos os dias e eu não queria mas é inevitável
61,4° maior causa de morte no br eh suicídio... puts
62,"Invadir o Brasil é um suicídio. Mesmo que se derrote o exército, o território ainda estará repleto de BRASILEIROS, e aí FUDEU meu amigo! Cês acha mesmo que a gente respeitaria os gringos?  KKKKKKKKKKKKKKKKKKKKKK  Vem tranquilo, não se afoba não."
63,um suicídio resolve tudo
64,não critica minha conquista se tu não viu meu suicídio.
65,Se eu passo 3 dias sem pensar em suicídio é muito
66,Acho que se eu fizesse contabilidade cometeria suicídio
67,"Eu sempre tento ver o lado bom das coisas, e toda vez que vocês jogam esse perfil na minha TL, o melhor lado que eu consigo ver é que vocês tão deixando claro que agora tudo bem zuar estupro e suicídio de criança  Mas eu sei que depende"
68,"Suicídio e Clínica Psicanalítica será tema de mesa redonda do curso de Psicologia, para saber mais acesse o link abaixo:"
69,"Vi uma publicação no fb, pra anunciar uma amiga encalhada e mano, fiz um texto da Joice lá nos comentários anunciando ela kkkkkkkkkkkkkk ela vai me matar 😬"
70,Eu deveria me matar?  sim        100% não            0%  votação encerrada
71,Esta ansiedade vai me matar juro
72,Isto é Felta...😂😂😂 Gasolina vai me matar😂😂😂😂😂😂😂😂
73,Olhem pra carinha que o Yoon fez enquanto escorregava... :c  ELE AINDA VAI ME MATAR COM TANTA FOFURA  …
74,Estou a isto 👌 de me matar já estou a ficar completamente farta desta merda td
75,meu filho não faz isso comigo meu pai amado quer me matar caralho
76,as roupinhas da oppen ainda vão me matar
77,essa dor vai me matar 😭😭😭
78,ai será que a mãe vai me matar se eu pegar o doguinho
79,"Insegurança e ansiedade um dia vai me matar, ou me fazer desistir das coisas que quero."
80,eu trancando minha vontade de me matar para não deixar minha família triste
81,"fav aqui se vc quer   me socar me beijar namorar cmg  me matar   ngm nunca saberá oq é, roubei da tml"
82,Essa tosse vai me matar
83,nesse dia eu e Thainá se perdeu de geral ficamos rodando a xv e de repente começou a roda punk e eu vi o Je Santiago apanhan…
84,Ser sentimental dessa forma só vai me matar cada dia um pouco mais.
85,Acordei 5h com vontade de me matar
86,"""vc namoraria alguém como vc?""  eu já me namoro   eu janto comigo   choro por coisas q eu fiz   assisto netflix comigo…"
87,"SOCORRO OLHEM ESSA ROUPA, CAMILA VOCÊ QUER ME MATAR??"
88,sedentarismo vai me matar uma hora
89,"Saudades dos roles que nois dava chapado, de vc se entalando com hambúrguer,  da nossa ""amizade "" — Qm é ???? Sai do anônimo e vamos matar a saudade ☺️"
90,Puta merda a galeria desse meu snap vai me matar de rir
91,Faltando aula porque acordei na merda e a minha barriga tá tentando me matar
92,"*halsey mandando msg pro bts  ""Eu vou matar vocês seus viadinho pão com ovo, pq não me avisaram que a premiação ia ser em out…"
93,Deus me da paciência pra viver nessa cidade sem matar um ou me matar
94,filho da maeELE QUER ME MATAR  DONGPYO SEU CA BAOERA AAAAAAAAAAQUE
95,Essa ansiedade pelo Flamengo ainda vai me matar
96,cade vc vou me matar
97,Como me matar: Leia minha pesquisa na frente da turma
98,minha mãe vai me matar kkkkkkkkkkk fé
99,"katia eu sou cardíaco, voces estao de complô pra me matar? eh isso?"
100,a ansiedade vai me matar
101,é complô pra me matar é sim
102,sera que eu vou conseguir transar violento antes do aquecimento global me matar de vez?
103,errei um bagulho tão ridículo em uma questão de astronomia eu quero me matar
104,"Acho que nem vou chegar vivo a ptv, só o pré vai me matar kkk"
105,"eu não tinha tpm, de uns tempos pra cá, falta me matar :("
106,O pensamento de viver mais 1 ano q seja nessa casa me da vontade de me matar
107,"Aniversário de Patricia é amanhã e eu não fiz nem o texto nem o vídeo ainda, acho que ela vai me matar"
108,"N aceito ngm colocar o dedo na minha cara pra me julgar por alguma atitude minha daqui pra frente, só eu sei cada leão que…"
109,vou me matar.
110,Vou até me matar
111,"- Porra fala não, minha mãe vai me matar!!"
112,"Olha eu juro que tento não me preocupar com ele, mas porra ontem era segunda feira e ele saiu pra beber, hoje ele vai sair de novo, pqp esse garoto quer me matar do coração"
113,"[🖇 Weverse]    ARMY: Aff, quase consegui pegar a alma do Seokjinie!!!🤧  Jin: Tentando .. me matar!!!! …"
114,essa aula de hoje está tentando me matar
115,"[WEVERSE] 27.08.19 | Jin comentou a postagem de um ARMY.  ARMY: Tsk, eu poderia ter conseguido a alma de Seokjinnie!! 🤧  Ji…"
116,meus amigo falando q vai me dar chá p eu levar e matar a saudade deles fumando
117,Minha ansiedade vai me matar um dia !
118,"""Como me matar sem dor""   KKKKKKKKKJKJJJJJJJJJJ"
119,Esse negocio de querer ficar sozinho mas querer alguém ao mesmo tempo vai me matar um dia.
120,"270819 | Jin comentou um post   📷 : Hmph, eu poderia ter conseguido a alma do Seokjjinie !! 🤧   🐹: Tentando .. me matar…"
121,"desgraça perdi meu cartão de passagem, meu pai vai me matar"
122,será que vou conseguir me formar na faculdade antes do aquecimento global matar todo mundo
123,minha mãe vai me matar
124,coisas aleatórias que me irritam  -qnd tiram meu cel do carregador sem tá 100% -quando falam ao telefone perto de mim  -barulho de mastigação (quer me matar enfia uma faca) -qnd falam cmg c voz de sono (??)
125,mano tenho um treinamento agora QUE EU PREFERIRIA ME MATAR AO INVÉS DE IR
126,Se tivesse que escolher entre matar seu melhor amigo e dar o cu oq escolheria ? — sim
127,Eu tô com tanto ódio a ponto de me matar ou matar alguém.
