,0
109,"  Trabalhos, frequências, exames, recursos, suicídio"
113,"O jovem transformou a depressão e o suicídio em algo clichê.
Hoje em dia se você tem depressão ou fala em se matar… "
118, ouvindo esse suicídio uma hr dessa ?????
120, suicídio coletivo
121,"Trabalhos, frequências, exames, recursos, suicídio"
126,"  ""E em caso da rubrica da Defensoria Pública suspeita-se que isso se torne um indicativo de suicídio institucional, porq…"
129,"já salvei muitas pessoas de suicídio e quando lembro disso meu coração fica quentinho, porquê eu ainda sei que lá n… "
136,"  Existe dois casos que foram abafados que eu sei.
Um foi a da atriz que cometeu suicídio… "
138," A vida é tão boa, suicídio é a última opção."
140,O atual presidente do meu país me faz acordar todo dia pensando em cometer suicídio.
141,"Van Gogh bebia tinta amarela pq achava o amarelo uma cor feliz, ent ele pensava estar bebendo a felicidade 
mas na… "
143,Ah chance de suicídio hj tá grande 
144,"  Galera que votou no Sidão para Craque do Jogo, o cara já tentou suicídio por se culpar pela morte da mãe. Hoje, dia das mães…"
147,  ninguém gosta de mim alem de três pessoas além da minha família eu achei que tinha achado um lugar legal mas a verdade é…
148,hoje é um daqueles dias que eu chego proximo do ponto de cometer um homicídio ou suicídio
149,Essa gente acha q suicídio é apenas vc se matar no sentido físico KKK já pararam para pensar q talvez a pessoa q es… 
155,Eu nunca vou julgar quem comete suicídio
156,"  O suicídio por depressão é real, se estiver se sentindo triste e quiser conversar, estou sempre disponível!
Eu quero você vi…"
157," 2013: Bulliyng+depressao+problemas familiares 
2014: primeiro auge da depressao+paixao nao correspo… "
159, Outra attention whore do twitter detectada. Sorria você servirá de material pra minha pesquisa. Prep… 
162,"Véi, eu queria dar um tiro na minha cabeça. Realmente... Com a liberação das armas., acontecerá suicídio em massa.… "
163," o numero de homicídios triplicou desde o estatuto do desarmamento de 2003, e isso ñ é por acaso. Ja o fat… "
164,"  Triste... Apenas mais uma attention whore do twitter. Sorria, você servirá como material pra m… "
165,  a minha vontade hj de tentar suicídio ta imensa
166,"“Quer atingir a estabilidade perfeita? Cometa suicidio.”
-RODRIGUES,gabriel 2019"
168,"Vou ficar pistola até esquecer da minha situação financeira. Enquanto eu não esqueço, a vontade é de cometer suicídio mesmo ¯\_(ツ)_/¯"
169, se o Flamengo ganhar a libertadores o que vai ter de suicídio coletivo em todo o Brasil!
170,"  !!!!!!!!ESCOLAS!!!!!!!!
conversem sobre PREVENÇÃO ao suicídio bullying
depressão
saúde mental
pq a escola é um dos ambien…"
172,"ESSA PAQUITA TEM DISTÚRBIOS MENTAL, POIS A GUARDA DO FILHO TEM QUE FICAR COM O PAI, POIS ELA NUMA CRISE PODE CHEGAR… "
173,espero q eu morra dormindo pois suicidio da mto trabalho 
174,Não se amar é suicídio
176,Kct assisti um video de suicídio assistido e é uma das coisas mais tristes q já vi pqp :(
177,Iphone sem capinha é suicídio
179,"Sei falar 50 min sem me preparar sobre: 

Deus 
Amizades falsas 
Depressão, ansiedade e suicídio
Expectativas e fru… "
180,"  Depressão é a doença do século, mais jamais vou acreditar que suicidio seja a solução. As vezes você tá do lado da pessoa e…"
182,"  CONSTRAGIMENTO E HUMILHAÇÃO 🇭🇺😯 A Globo passou dos limites ao entregar o troféu ""Craque do Jogo"" 

Sidão passou por um…"
183,SÃO LUÍS - MPMA promove fórum sobre prevenção ao suicídio. 
185,  eu me odeio😍😍😍😍 eu sou horrivel✨✨✨✨✨ gorda🥰🥰🥰🥰🥰 feia💗💗💗💗 e burra🌹🌹🌹🌹 eu so quero chorar🤩🤩🤩🤩 alguem pode me matar por favor?…
186, me conta quem devo matar
187,Se essa panela de pressão me matar digam aos meus dogs q amo eles
188,senhor se você puder tá me sondando hoje eu agradeço pois a cólica resolveu me matar
189,meu pai vai me matar
190, Você vai me matar 💜♥️❤💓💕💖💗💙💚💛🧡💜💝💞💟❣✊😞
191,  Acho bom porque só ontem quis te matar 584x toda hora que me acordava K K K K
192," — Eu adoro sua companhia, querido — ela disse respirando fundo — Mas eu ainda vou te matar por ter… "
193,    Aaaaa eu quero tô bem fudida com coisa da facul pra fazer mas u… 
194,minha curiosidade vai me matar um dia
195,gzus essa fic vai me matar
196,"Queria odiar menos o meu lar. A sorte que nele tem minha mãe e meu filho, eles me dao a sensação de que posso volta… "
197,  trabalhar pra me matar
198,"mandei um áudio pro bruno e tô querendo me matar, minha voz tá ridícula nego kkkkkkkkk sorry"
199," Msm antes eu n conseguindo nem atirar direito era mto melhor q hj, mto mais divertido mesmo sendo rui… "
200,IRRAAAAAAA PODE VIR ME MATAR QUE EU DEIXO 
201, assim tu vai me matar 😭😭😭 socorro
202,eu quero me matar pqp
203,"inseta, deixa de ser surtada e achar que eu vou matar uma pessoa jfkskskkk
para de me bater 
agradeço"
204,"  eu depois de matar a saudade e me apaixonar pela milésima vez por esses garotos 

O COMEBACK DO ANO VEM ATINYS 
…"
205,"Sou eu o velho Marx a opressão tá de matar
Vou na praça vermelha pra uma revolução travar
Vai me empregar na fábric… "
206,"Matheus ainda vai me matar de susto, misericórdia"
207,Acho que o professor que montou meu último treino quer me matar...😪😥🤔
208,amizades eu vou me matar de estudar pra geografia e jogar na cara da fudida da roseli que eu sou capaz
209,  esse meu orgulho ainda vai me matar
210, vou me matar
211,  Caralho mn!!!! Quer me matar porra?! Tomei um susto do caralho quando vi o selo anti-z… 
212,O jeito q ele me irrita até eu querer matar é diferente
213,Luan com certeza vai me matar
214,se eu nao chorar ate dormir eu choro ate surtar mais ainda e me matar kk bjus
215,"ninguém: 
melissa: MEU DEUS A PADRÃO VAI ME MATAR QUE ÓDIO"
216,Essa UFF ainda vai me matar
217, Inb4  vir me matar pela minha verbalização de uma frase em inglês
218,Rihanna me ensinou a matar homem quando ninguém ao menos tentou 😭😭😭😭
219,ouvino a musica que me lembra ela kkkk vo me matar
220,"  Jimin perguntando pro Taehyung se estava frio e depois dando um abraço quentinho nele.

Que saco vmin vocês vão me mata…"
221,"Acordei passando mal hj e n fui para a escola, mas amanhã tem paralisação e eu vou faltar tbm pq minha mãe vai me m… "
222,Bebendo pra matar a saudade que tá me matando
223,amo me matar comendo coca e doritos
224,Eu já me estressei tanto hj com esse trabalho que eu quero matar essas meninas
225,"Que isso  , quer me matar do coração, tava com o fone de ouvido no talo, quando fiz o konami code, tomei um susto, KK"
226,"  A intenção da Selena é me matar, olha isso senhor Jesus Cristo "
227," não joga isso na minha cara, eu sinto vontade de me matar só de lembrar"
228,que me matar é a pessoa mudar cmg do nada
229,  ELLE FANNING E ANGELINA JOLIE VOCÊS QUEREM ME MATAR ?!?! QUE TRAILER MARAVILHOSO FOI ESSE DE MALÉVOLAAAAA
230,Bebendo pra matar a saudade que tá me matando . . . 🎶🎵
231, SELENAA SUAAA DIVAAA COMO OUSA ME MATAR COM UM LOOK DESSE? 
232,Alguém quer me dar uma barca de sushi pra matar minha saudade?!
233,este joelho tá me a matar
234, Essas coisas fazem eu querer me matar
235,"  Tenho medo da minha ansiedade me matar qualquer hora, do nada"
236,sonhei com um homem tentando me matar e ninguém me ajudava
237, Como assim? Me explica pq aí poupa tempo de eu sair de casa pra matar aula kdjkskskdk
238,meu pai vai me matar rsrs 
239,eu quero morangos com chantilly há dias será vou mesmo sair de casa só para comprar isso e matar este desejo para n… 
240,e o torcicolo? — vou te matar rafaella 
241,"  é que o meu pai morreu
e eu fumo cigarro 
eu quero me matar 

S A P A T O"
242,"  Acho lindo, mas eu não consigo me conectar ao sagrado feminino, achar legal meu sangue, coletor menstrual etc quando na…"
243,"professor de bcm: a 
eu: nao entendi vou me matar"
244,esse meu orgulho ainda vai me matar
245,Vô tenta me matar e vô minti dizeno que vô discansa &gt;;)
246,  já to c sdds do melhor evento da região q trás 4 shows completamente diferentes na mesma noite só pra me matar de cansaço
247, Se tu me matar vai ficar sem namorada
248,Meus amigos vão me matar 
249,"A depressão nem sempre é ""eu vou me matar"".
Muitas vezes é: eu fiquei em casa e ném tomei banho""
""Eu não fui trabal… "
251,"Fui na lojinha de maquiagem aqui perto do trabalho depois do almoço, aí me distrai com as coisas, depois só escuto… "
252,eu to passando mal selena em cannes vai me matar
253,Coutinho vou te matar se não me responderes!!
254,Será que alguma coisa no dia de hoje vai dar certo ou esse dia vai me matar de raiva??
255,"  Estou 24h sem comer algo estava so no liquido, vou me matar de comer no almoço"
256,  Quer me matar é mandar msg e apagar
257,"É galera vcs me terão até o meio do ano q vem, depois disso vou pra Alemanha e pretendo me matar lá mesmo"
258, Vc quer me matar de preocupação é
259,  Ela quer mesmo me matar..lentamente. 🥺 
260, me ajuda anjo quero matar ele 😩
261,me recuso a sair nesse sol quente de matar um
263,rihanna se vc n achar um homem pra matar eu me voluntario
264,  minha mãe deve tá pensando que eu vou me matar pq o tanto de coisa fofa sobre apoio e amor que ela tá me mandando desde…
265,"Eu sei que o tempo vai passar
Bocas vão rolar
Mas do jeito que seu santo é forte ninguém vai me amar
Eu vou voltar… "
266,To ai no postinho querendo me matar pela demora mas acho que consulta pra ainda hoje
267, Felizes pra sempre depois de tentar matar meu amor pra depois me matar 😍
